"country","total_cases","new_cases","total_deaths","new_deaths","total_recovered","active_cases","serious_critical","tot_cases_1m_pop","deaths_1m_pop","total_tests","tests_1m_pop","population","continent","fatality_rate","population_2020","yearly_change","net_change","density_km2","land_area_km2","migrants_net","fert_rate","med_age","urban_pop_percent","world_share"
"Oman",11437,1014,47,5,2396,8994,31,2245,9,72000,14134,5094240,"Asia",0.0041,5106626,0.0265,131640,16,309500,87400,2.93,31,0.87,0.001
"Serbia",11412,31,243,1,6698,4471,10,1306,28,245985,28144,8740173,"Europe",0.0213,8737371,-0.004,-34864,100,87460,4000,1.4612,42,0.562,0.001
"Bahrain",11288,495,19,2,6673,4596,12,6657,11,314823,185669,1695617,"Asia",0.0017,1701575,0.0368,60403,2239,760,47800,1.9982,32,0.893,0
"Kazakhstan",10858,476,40,2,5404,5414,62,579,2,812881,43338,18756949,"Asia",0.0037,18776707,0.0121,225280,7,2699700,-18000,2.7638,31,0.577,0.002
"Nigeria",9855,0,273,0,2856,6726,7,48,1,60825,296,205654182,"Africa",0.0277,206139589,0.0258,5175990,226,910770,-60000,5.4168,18,0.52,0.026
"Bolivia",9592,861,310,10,889,8393,3,823,27,28239,2422,11658870,"South America",0.0323,11673021,0.0139,159921,11,1083300,-9504,2.75,26,0.693,0.001
"Algeria",9394,127,653,7,5748,2993,23,215,15,0,0,43778769,"Africa",0.0695,43851044,0.0185,797990,18,2381740,-10000,3.05,29,0.729,0.006
"Armenia",9282,355,131,4,3386,5765,10,3133,44,58065,19598,2962785,"Asia",0.0141,2963243,0.0019,5512,104,28470,-4998,1.7559,35,0.628,0
"Czechia",9257,27,320,1,6551,2386,15,865,30,439744,41069,10707339,"Europe",0.0346,10708981,0.0018,19772,139,77240,22011,1.6413,43,0.735,0.001
"Norway",8440,3,236,0,7727,477,8,1558,44,245352,45288,5417605,"Europe",0.028,5421241,0.0079,42384,15,365268,28000,1.68,40,0.834,0.001
"Moldova",8251,153,295,4,4581,3375,251,2045,73,40565,10054,4034718,"Europe",0.0358,4033963,-0.0023,-9300,123,32850,-1387,1.2552,38,0.427,0.001
"Ghana",7881,113,36,1,2841,5004,5,254,1,214956,6931,31012732,"Africa",0.0046,31072940,0.0215,655084,137,227540,-10000,3.8928,22,0.567,0.004
"Malaysia",7819,57,115,0,6353,1351,9,242,4,553183,17111,32329329,"Asia",0.0147,32365999,0.013,416222,99,328550,50000,2.0105,30,0.784,0.004
"Morocco",7807,27,205,1,5459,2143,18,212,6,209139,5672,36872098,"Africa",0.0263,36910560,0.012,438791,83,446300,-51419,2.42,30,0.638,0.005
"Australia",7195,10,103,0,6614,478,4,282,4,1454568,57100,25473913,"Australia/Oceania",0.0143,25499884,0.0118,296686,3,7682300,158246,1.8316,38,0.859,0.003
